03/16/2022 01:22:32 | models |  INFO | Created entity embeddings: Embedding(2601, 128)
03/16/2022 01:22:32 | models |  INFO | Created variable embeddings: Embedding(6, 128)
03/16/2022 01:22:32 | models |  INFO | Created relation embeddings: Embedding(49, 128)
03/16/2022 01:29:38 | train |  INFO | Epoch loss: 1132.357177734375
03/16/2022 01:32:24 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93D38>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.5027412752884526], 'pre': [0.0052415494247050175], 'rec': [0.26785714285714285]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.49938015410032316], 'pre': [0.009420899378070625], 'rec': [0.26506024096385544]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.5159485298647996], 'pre': [0.005691116424016185], 'rec': [0.20930232558139536]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.4919176882102814], 'pre': [0.00893885762696801], 'rec': [0.2446043165467626]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.5125931277952136], 'pre': [0.006072200701019657], 'rec': [0.24477958236658934]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.5128451172678302], 'pre': [0.007887829996348211], 'rec': [0.25341745531019977]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9449583973759187], 'pre': [0.0200406332518435], 'rec': [0.03017241379310345]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.5686263271289742, 'pre': 0.009041869543281603, 'rec': 0.2164562110598641}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.6064117634210066, 'pre': 0.010008914570379768, 'rec': 0.20080488481820705})})
03/16/2022 01:37:12 | train |  INFO | Epoch loss: 463.02899169921875
03/16/2022 01:40:07 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93CA8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.3484264236708451], 'pre': [0.004870856498632608], 'rec': [0.336734693877551]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.3349704601722047], 'pre': [0.00865949766529828], 'rec': [0.3433734939759036]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.3624564007485314], 'pre': [0.005664306423540349], 'rec': [0.28488372093023256]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.32331068851975575], 'pre': [0.009473797703060458], 'rec': [0.33093525179856115]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.3582488409127257], 'pre': [0.0062252624274939], 'rec': [0.3265661252900232]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.3458470922156613], 'pre': [0.0077128641187009786], 'rec': [0.33648790746582546]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9437084859431041], 'pre': [0.014037060053402607], 'rec': [0.03078817733990148]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.43099548459754683, 'pre': 0.008091949270018455, 'rec': 0.28425276723971404}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.4813710491257397, 'pre': 0.008649742104088734, 'rec': 0.26353039134054956})})
03/16/2022 01:47:10 | train |  INFO | Epoch loss: 231.40841674804688
03/16/2022 01:51:41 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93B88>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.2691579541807808], 'pre': [0.004943864274919645], 'rec': [0.3673469387755102]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.23570581980180227], 'pre': [0.008655314961729504], 'rec': [0.4036144578313253]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.2543991120775158], 'pre': [0.006331607309054732], 'rec': [0.3546511627906977]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.22309734941893233], 'pre': [0.008956493128490239], 'rec': [0.3800959232613909]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.2522437162537965], 'pre': [0.006227552322295337], 'rec': [0.3723897911832947]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.24595557954335967], 'pre': [0.007448380368243071], 'rec': [0.3785488958990536]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9433041760294102], 'pre': [0.014461213994762183], 'rec': [0.02894088669950739]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.34626624390079963, 'pre': 0.00814634662278496, 'rec': 0.32651257949154006}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.4044641270944117, 'pre': 0.008639974298228091, 'rec': 0.29725228975853457})})
03/16/2022 01:58:44 | train |  INFO | Epoch loss: 128.81307983398438
03/16/2022 02:02:58 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93E58>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.21043328766385097], 'pre': [0.005079069507236963], 'rec': [0.399234693877551]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.18912862882082532], 'pre': [0.008706612960174163], 'rec': [0.41566265060240964]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.1831321589246321], 'pre': [0.006161524712038365], 'rec': [0.38953488372093026]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.17443581576928385], 'pre': [0.008884240313968249], 'rec': [0.3980815347721823]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.1824137959161459], 'pre': [0.006235141618139397], 'rec': [0.41299303944315546]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.19416392596315635], 'pre': [0.007498663314570215], 'rec': [0.40904311251314407]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9446861203559345], 'pre': [0.019637415019560074], 'rec': [0.03694581280788178]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.29691339048768983, 'pre': 0.008886095349383918, 'rec': 0.35164224681960776}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.35960375831234137, 'pre': 0.009825080583282438, 'rec': 0.3234804329725229})})
03/16/2022 02:09:35 | train |  INFO | Epoch loss: 84.2856216430664
03/16/2022 02:13:44 | train |  INFO | defaultdict(<function classification_metrics.<locals>.<lambda> at 0x000001647EC93CA8>, {'1-chain': defaultdict(<class 'list'>, {'acc': [0.16912073390882087], 'pre': [0.005048288141928484], 'rec': [0.4094387755102041]}), '2-chain': defaultdict(<class 'list'>, {'acc': [0.1531584712498015], 'pre': [0.008794341838828462], 'rec': [0.43373493975903615]}), '2-inter': defaultdict(<class 'list'>, {'acc': [0.14731045929452194], 'pre': [0.006249193988810139], 'rec': [0.4127906976744186]}), '3-chain_inter': defaultdict(<class 'list'>, {'acc': [0.14101607779583086], 'pre': [0.009686542208934458], 'rec': [0.42805755395683454]}), '3-inter': defaultdict(<class 'list'>, {'acc': [0.14589682007829827], 'pre': [0.0061571575450305146], 'rec': [0.4240139211136891]}), '3-inter_chain': defaultdict(<class 'list'>, {'acc': [0.15699361646200694], 'pre': [0.007690492832722855], 'rec': [0.43112513144058884]}), '3-chain': defaultdict(<class 'list'>, {'acc': [0.9399819284088392], 'pre': [0.009822379531086837], 'rec': [0.0437192118226601]}), 'mean': defaultdict(<class 'list'>, {'acc': 0.26478258674258853, 'pre': 0.007635485155334536, 'rec': 0.3689828901824902}), 'weighted': defaultdict(<class 'list'>, {'acc': 0.32994981925534855, 'pre': 0.007738684089758623, 'rec': 0.33902303635859005})})
03/16/2022 02:19:56 | train |  INFO | Epoch loss: 53.45954132080078
